f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,label
0.0,0.0,-1.3379112,0.7654876,-2.5594432,1.8531964,-2.597259,3.1647944,-1.6351098,3.818133,-1.474774,-1.1585286,-1.3244201,2.6087718,-1.5177222,2.5101733,-1.5997498,1.5766027,-0.03500829,-1.2289773,-0.0371843,3.0000691,-0.37034824,2.2345665,-0.47769743,0.8785244,1.2129337,-0.87168473,0.9018716,2.941022,0.48128533,2.164984,0.40260333,0.9043937,2.1301813,-0.31511226,1.6709946,2.3863158,1.3064325,1.6404707,1.2221692,0.3958893,0
0.0,0.0,-0.88310593,0.5580608,-1.5372199,1.3232415,-1.4094445,2.2638988,-0.8466384,2.8803778,-0.7657873,-0.028064286,-0.6976892,1.9099463,-0.81114346,1.7003882,-0.83457065,1.1385046,0.03731833,-0.111922465,-0.0379786,2.1276083,-0.21074472,1.7394998,-0.23320213,0.97242826,0.6850775,0.0210636,0.5501426,2.0515015,0.35108668,1.6472102,0.33624303,0.9453264,1.1755604,0.23790374,1.0186405,1.7454618,0.87563694,1.4811877,0.85698587,0.86764246,0
0.0,0.0,-1.7805234,1.0480565,-3.443816,2.1780808,-3.3391616,3.6973333,-1.8063794,4.5840163,-1.8226316,-1.7467607,-1.3766234,2.7907124,-1.6891214,2.742906,-1.7772193,1.698373,-0.002747015,-2.2047002,0.3862736,3.2628753,-0.13865694,2.5817459,-0.361824,0.93224645,1.5297953,-1.9295275,1.6750219,3.0775335,1.0949261,2.2289836,0.9149193,0.68713474,2.6948404,-1.3063232,2.6790717,2.1664238,2.2197056,1.4692177,2.0215025,0.13065653,0
0.0,0.0,-0.40353492,0.4698228,-0.61731523,0.9884644,-0.4536954,1.486234,-0.07121229,1.7659602,-0.14127688,0.03364063,0.02245308,1.3641844,-0.12686102,1.4027631,-0.14895044,1.1403937,0.35912877,-0.057570454,0.40696883,1.5122615,0.22877671,1.3974004,0.18360156,0.98300076,0.75615746,-0.009998563,0.75823766,1.4365326,0.5488283,1.2873995,0.48083726,0.921078,1.0500351,0.1217777,0.9935352,1.176738,0.819418,1.1034873,0.74784625,0.8013639,0
0.0,0.0,-0.14699708,0.44796667,-0.113555305,0.82040405,0.1299919,1.1340384,0.43488133,1.3374443,0.30186486,-0.0032851158,0.5117231,1.0249902,0.28155488,1.0862539,0.16185893,0.8716534,0.66005605,-0.12814625,0.81214285,1.0604757,0.5713743,1.0985165,0.4936887,0.8696387,0.9387741,-0.105098985,1.0803468,1.0308388,0.8864932,1.0237902,0.82252765,0.79435796,1.1527356,0.003867043,1.2171805,0.806235,1.0501373,0.8109516,0.9847527,0.60246396,0
0.0,0.0,-0.29187357,0.6695807,-0.34355232,1.1819595,0.0012954274,1.5459979,0.5126233,1.6955878,0.20204231,-0.2030098,0.6426941,1.2791187,0.32734388,1.440989,0.1333102,1.0870574,0.7455937,-0.39957914,0.99301034,1.3641601,0.6662257,1.3482738,0.5006803,0.8656323,1.1746284,-0.34272426,1.363417,1.2899231,1.0848515,1.1863147,0.98294896,0.7232092,1.5203755,-0.1681542,1.5918384,1.0478746,1.3634609,1.0026962,1.2793536,0.61223704,0
0.0,0.0,-1.3005278,-0.07004055,-2.758221,-0.6214447,-3.265414,-0.6422467,-2.1774685,-0.11492378,-1.7427425,-4.7871003,-2.0026722,-1.8100712,-1.7685281,-0.5016954,-1.5585498,-0.77310544,-0.2728376,-4.8822837,-0.6466105,-1.259017,-0.64436346,-0.119710736,-0.57970035,-0.81482977,1.0275214,-4.346889,0.60482293,-1.0223845,0.4011533,-0.1184743,0.38724878,-0.6617198,2.0573337,-3.4947774,1.7326244,-1.354423,1.4413782,-0.58892584,1.3083696,-0.79955316,0
0.0,0.0,-0.9973089,-0.04847654,-2.0256505,-0.16623276,-2.6702778,-0.0445778,-2.3218102,0.21328561,-1.7270656,-2.680872,-2.0269263,-0.56051147,-1.6704067,0.046848692,-1.4379795,-0.27089968,-0.87413895,-2.7863677,-1.2722049,-0.16017646,-1.0435537,0.23724642,-0.92323923,-0.38422564,-0.062089738,-2.4592574,-0.46738744,-0.08358855,-0.29200456,0.19754407,-0.13527492,-0.3324871,0.63573956,-1.9711215,0.31310946,-0.18427218,0.3881446,0.014087614,0.49426356,-0.45762712,0
0.0,0.0,-0.9278102,-0.03556379,-1.7799234,-0.093962684,-2.3597403,-0.05618551,-2.2669818,0.06829263,-1.5169985,-2.357484,-1.8834023,-0.5378505,-1.575677,-0.019752149,-1.3561621,-0.3380292,-0.8024249,-2.373276,-1.2493292,-0.18516634,-1.0394338,0.12110056,-0.9124307,-0.4092312,-0.13389388,-2.0451043,-0.59497887,-0.06192679,-0.42980593,0.12089613,-0.27628204,-0.34645587,0.44356278,-1.5783192,0.08035278,-0.079359576,0.14562334,0.04699149,0.25063494,-0.36535048,0
0.0,0.0,-1.0794649,0.10304475,-2.0983486,0.024276514,-2.7201822,0.11337791,-2.4706552,0.30843025,-2.0248668,-2.5370884,-2.21679,-0.57404137,-1.7259963,0.121040605,-1.452377,-0.17068806,-1.1578925,-2.751394,-1.3854309,-0.35757607,-1.0768384,0.22928162,-0.96249443,-0.27130148,-0.309657,-2.5371041,-0.54352975,-0.34254706,-0.31888005,0.16362232,-0.17043306,-0.25805,0.43936676,-2.138861,0.2940697,-0.4695895,0.39184505,-0.09699987,0.47851217,-0.46538442,0
